Origin_Label,Destination_Label,Product_Code,TFT_Forecast_Year+1,TFT_Forecast_Year+2
Angola,"Congo, Dem. Rep. of the",8517,0.94005257,0.9224116
Angola,"Congo, Dem. Rep. of the",9404,0.28223285,0.2502171
Angola,France,8517,12.157209,12.12732
Angola,Guinea,8517,0.6260829,0.650062
Angola,Guinea,9404,0.07516921,0.076254345
Angola,Netherlands (Kingdom of the),8517,7.8193493,4.6193867
Angola,Portugal,9404,0.86060345,0.36916453
Anguilla,Saint Kitts and Nevis,2106,0.13578346,0.13529642
Anguilla,Saint Kitts and Nevis,8517,0.6130411,0.6130948
Antigua and Barbuda,Barbados,8517,22.921888,22.419416
Antigua and Barbuda,Grenada,2106,0.3430919,0.2585983
Antigua and Barbuda,Grenada,8517,8.752212,8.378537
Antigua and Barbuda,Guinea,3304,0.06391147,0.060940947
Antigua and Barbuda,Montserrat,2106,0.18000144,0.1270726
Antigua and Barbuda,Montserrat,3304,0.74071133,0.69828844
Antigua and Barbuda,Montserrat,8517,9.119433,9.040131
Antigua and Barbuda,Saint Kitts and Nevis,2106,0.31794113,0.2546062
Antigua and Barbuda,Saint Kitts and Nevis,8517,3.1137881,3.134055
Antigua and Barbuda,Saint Vincent and the Grenadines,2106,0.18355449,0.12383921
Antigua and Barbuda,Saint Vincent and the Grenadines,8517,6.602216,6.4077945
Argentina,Algeria,2106,0.10302058,0.09600763
Argentina,Austria,2106,0.18089937,0.1816332
Argentina,Austria,3304,1.1563538,1.2300023
Argentina,Austria,6109,1.9134781,2.2911808
Argentina,Austria,8517,10.322607,8.898774
Argentina,Bahrain,2106,0.07543051,0.07583547
Argentina,Belgium,2106,0.5553698,0.569633
Argentina,Belgium,3304,2.1483564,1.8919443
Argentina,Bolivia (Plurinational State of),2106,0.9618689,0.80588484
Argentina,Bolivia (Plurinational State of),3304,4.5969276,3.2495823
Argentina,Bolivia (Plurinational State of),9404,7.514617,2.408878
Argentina,Brazil,2106,0.24354951,0.15687859
Argentina,Brazil,3304,0.04820416,0.06767111
Argentina,Cayman Islands,3304,0.5504226,0.5391848
Argentina,Chile,2106,0.11621733,0.11418325
Argentina,Chile,3304,0.7084759,0.6021811
Argentina,Chile,6109,1.8511457,1.8595722
Argentina,Chile,8517,8.693729,8.812272
Argentina,Chile,9404,2.5489163,1.2570163
Argentina,"China, Hong Kong SAR",8517,3.5835717,3.932623
Argentina,China,2106,0.07854628,0.2268529
Argentina,China,8517,7.496991,7.722541
Argentina,Colombia,2106,0.17589545,0.14143473
Argentina,Colombia,3304,9.33191,9.095257
Argentina,Colombia,8517,4.9547863,4.406143
Argentina,Costa Rica,2106,0.1351148,0.15058324
Argentina,Costa Rica,3304,0.49197814,0.3019324
Argentina,Costa Rica,8517,34.317974,22.733719
Argentina,Costa Rica,9404,0.34704438,0.3427718
Argentina,Czechia,3304,9.468689,5.9914246
Argentina,Czechia,8517,22.23733,12.090553
Argentina,Dominican Republic,2106,0.09379923,0.09146821
Argentina,Dominican Republic,3304,1.3951797,0.28918418
Argentina,Ecuador,2106,0.19033988,0.11742566
Argentina,Ecuador,3304,0.509043,0.44225836
Argentina,Egypt,2106,0.23698288,0.24316378
Argentina,Egypt,8517,2.7076013,3.1974132
Argentina,El Salvador,2106,0.14827594,0.15679665
Argentina,El Salvador,3304,0.3096093,0.20337641
Argentina,El Salvador,8517,7.2289934,7.2206955
Argentina,Estonia,3304,1.4014633,1.0918537
Argentina,Finland,3304,1.0026422,1.1001683
Argentina,France,2106,0.37819442,0.28481662
Argentina,France,6109,3.4974408,1.957064
Argentina,France,8517,23.446873,16.329361
Argentina,Germany,3304,0.45101312,0.4646598
Argentina,Guatemala,2106,0.12361363,0.11792551
Argentina,Guatemala,3304,0.57121825,0.14643441
Argentina,Guatemala,8517,13.706014,13.608605
Argentina,Honduras,2106,0.09664325,0.09597981
Argentina,India,3304,1.2334088,1.0584105
Argentina,Indonesia,2106,0.09357276,0.099970244
Argentina,Ireland,6109,3.8103054,2.8789613
Argentina,Israel,2106,0.21699476,0.20059153
Argentina,Israel,8517,8.021529,7.990912
Argentina,Italy,2106,0.53185946,0.5822431
Argentina,Italy,8517,10.984631,10.604505
Argentina,Jamaica,2106,1.763276,0.1442385
Argentina,Japan,2106,0.26623797,0.28504324
Argentina,Japan,6109,5.6720014,5.6817713
Argentina,Kazakhstan,3304,1.7137688,1.6787301
Argentina,"Korea, Republic of",2106,0.3706237,0.34442076
Argentina,"Korea, Republic of",3304,0.21703096,0.21087146
Argentina,Kuwait,2106,0.2565786,0.28043467
