Origin_Label,Destination_Label,Product_Code,Year_label,XGB_Forecast
Albania,Uruguay,3304,2022,2.4021943
Albania,Uruguay,6109,2022,4.6437798
Algeria,Angola,6109,2022,1.7306617
Algeria,Angola,8517,2022,31.808563
Algeria,Angola,9404,2022,18.732414
Algeria,Argentina,8517,2022,53.485783
Algeria,Australia,9404,2022,18.634546
Algeria,Austria,6109,2022,12.012606
Algeria,Austria,8517,2022,46.59484
Algeria,Belgium,2106,2022,1.5204414
Algeria,Belgium,3304,2022,1.1558971
Algeria,Belgium,6109,2022,8.166589
Algeria,Belgium,8517,2022,53.669704
Algeria,Benin,8517,2022,7.3727727
Algeria,Benin,9404,2022,18.933207
Algeria,Botswana,8517,2022,60.14727
Algeria,Burkina Faso,3304,2022,1.1558971
Algeria,Burkina Faso,8517,2022,6.647258
Algeria,Burkina Faso,9404,2022,18.722069
Algeria,Cameroon,8517,2022,24.577345
Algeria,Chile,8517,2022,47.172195
Algeria,China,2106,2022,1.0287917
Algeria,China,3304,2022,3.4923
Algeria,China,6109,2022,9.950519
Algeria,China,8517,2022,27.56773
Algeria,"China, Hong Kong SAR",8517,2022,66.839615
Algeria,Costa Rica,9404,2022,20.1138
Algeria,Cote d'Ivoire,2106,2022,1.2361456
Algeria,Cote d'Ivoire,8517,2022,53.64356
Algeria,Cote d'Ivoire,9404,2022,50.33168
Algeria,Croatia,8517,2022,7.9413424
Algeria,Czechia,3304,2022,16.08829
Algeria,Czechia,8517,2022,62.60275
Algeria,Denmark,8517,2022,26.6669
Algeria,Egypt,2106,2022,1.2361456
Algeria,Egypt,6109,2022,4.6437798
Algeria,Egypt,8517,2022,28.31974
Algeria,Ethiopia,9404,2022,18.92156
Algeria,Finland,3304,2022,2.536275
Algeria,Finland,8517,2022,28.891655
Algeria,France,2106,2022,0.8857949
Algeria,France,3304,2022,3.326862
Algeria,France,6109,2022,3.3658087
Algeria,France,8517,2022,47.73644
Algeria,France,9404,2022,18.62442
Algeria,Germany,2106,2022,0.99109936
Algeria,Germany,3304,2022,2.5222542
Algeria,Germany,6109,2022,11.432828
Algeria,Germany,8517,2022,33.77353
Algeria,Ghana,8517,2022,25.514381
Algeria,Greece,8517,2022,7.652233
Algeria,Greenland,3304,2022,2.5428646
Algeria,Iceland,6109,2022,3.1946547
Algeria,India,2106,2022,0.9974848
Algeria,India,8517,2022,62.427353
Algeria,Iran (Islamic Republic of),8517,2022,44.961296
Algeria,Ireland,2106,2022,1.2587334
Algeria,Ireland,3304,2022,1.782225
Algeria,Ireland,6109,2022,3.4519782
Algeria,Ireland,8517,2022,47.77747
Algeria,Italy,2106,2022,0.8101824
Algeria,Italy,3304,2022,1.2236766
Algeria,Italy,8517,2022,26.589825
Algeria,Jordan,2106,2022,1.0722421
Algeria,Jordan,3304,2022,1.1024708
Algeria,Jordan,8517,2022,25.274967
Algeria,Kenya,8517,2022,52.8735
Algeria,"Korea, Republic of",2106,2022,1.7270169
Algeria,"Korea, Republic of",3304,2022,2.3169909
Algeria,"Korea, Republic of",6109,2022,1.6103506
Algeria,"Korea, Republic of",8517,2022,26.16081
Algeria,Kuwait,2106,2022,1.3751107
Algeria,Libya,2106,2022,1.0203105
Algeria,Libya,3304,2022,1.3349732
Algeria,Libya,8517,2022,24.662548
Algeria,Lithuania,6109,2022,12.872698
Algeria,Mali,2106,2022,1.1851572
Algeria,Mali,3304,2022,0.86195046
Algeria,Mali,9404,2022,18.896778
Algeria,Malta,8517,2022,31.079031
Algeria,Mauritania,2106,2022,0.9847925
Algeria,Mauritania,3304,2022,0.8109882
Algeria,Mauritania,6109,2022,2.159338
Algeria,Mauritania,8517,2022,24.665375
Algeria,Mauritania,9404,2022,18.945026
Algeria,Mauritius,8517,2022,30.990162
Algeria,Montenegro,6109,2022,7.5093265
Algeria,Morocco,2106,2022,3.5552843
Algeria,Morocco,3304,2022,4.730273
Algeria,Morocco,6109,2022,8.711442
Algeria,Morocco,8517,2022,41.140125
Algeria,Morocco,9404,2022,19.002409
Algeria,Mozambique,8517,2022,70.94769
Algeria,Mozambique,9404,2022,18.827332
Algeria,Netherlands (Kingdom of the),2106,2022,2.4060025
Algeria,Netherlands (Kingdom of the),3304,2022,4.591615
Algeria,Netherlands (Kingdom of the),6109,2022,3.5415187
Algeria,Netherlands (Kingdom of the),8517,2022,53.64356
Algeria,Netherlands (Kingdom of the),9404,2022,30.129604
Algeria,New Zealand,2106,2022,1.0071883
Algeria,New Zealand,3304,2022,1.1506598
Algeria,Niger,2106,2022,0.8028193
Algeria,Niger,3304,2022,0.9157954
Algeria,Niger,8517,2022,52.886555
Algeria,Niger,9404,2022,18.966076
Algeria,Nigeria,2106,2022,0.9882742
Algeria,Nigeria,8517,2022,25.576435
Algeria,Norway,3304,2022,1.6697754
Algeria,Norway,6109,2022,5.8411098
